MovementTypeKey,MovementTypeCode,MovementTypeGroupKey,MovementTypeName,MovementTypeDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,MT000001,3,Beacon MovementType 1,MovementType starter record 1,1,1,1,2026-08-24T00:00:00.000
2,MT000002,1,Junction MovementType 2,MovementType starter record 2,1,1,1,2026-08-24T00:00:00.000
3,MT000003,3,Granite MovementType 3,MovementType starter record 3,1,1,1,2026-08-24T00:00:00.000
4,MT000004,4,Pioneer MovementType 4,MovementType starter record 4,1,1,1,2026-08-24T00:00:00.000
5,MT000005,3,Liberty MovementType 5,MovementType starter record 5,0,1,1,2026-08-24T00:00:00.000
6,MT000006,2,Liberty MovementType 6,MovementType starter record 6,1,1,1,2026-08-24T00:00:00.000
7,MT000007,3,Titan MovementType 7,MovementType starter record 7,1,1,1,2026-08-24T00:00:00.000
8,MT000008,4,Delta MovementType 8,MovementType starter record 8,1,1,1,2026-08-24T00:00:00.000
9,MT000009,2,Northstar MovementType 9,MovementType starter record 9,1,1,1,2026-08-24T00:00:00.000
10,MT000010,3,Unity MovementType 10,MovementType starter record 10,0,1,1,2026-08-24T00:00:00.000
11,MT000011,2,Atlas MovementType 11,MovementType starter record 11,1,1,1,2026-08-24T00:00:00.000
12,MT000012,4,Summit MovementType 12,MovementType starter record 12,1,1,1,2026-08-24T00:00:00.000
13,MT000013,3,Cedar MovementType 13,MovementType starter record 13,1,1,1,2026-08-24T00:00:00.000
14,MT000014,1,Titan MovementType 14,MovementType starter record 14,1,1,1,2026-08-24T00:00:00.000
15,MT000015,2,Vertex MovementType 15,MovementType starter record 15,0,1,1,2026-08-24T00:00:00.000
16,MT000016,4,Granite MovementType 16,MovementType starter record 16,1,1,1,2026-08-24T00:00:00.000
17,MT000017,4,Northstar MovementType 17,MovementType starter record 17,1,1,1,2026-08-24T00:00:00.000
18,MT000018,2,Zenith MovementType 18,MovementType starter record 18,1,1,1,2026-08-24T00:00:00.000
19,MT000019,2,Unity MovementType 19,MovementType starter record 19,1,1,1,2026-08-24T00:00:00.000
20,MT000020,1,Northstar MovementType 20,MovementType starter record 20,0,1,1,2026-08-24T00:00:00.000
21,MT000021,2,Cedar MovementType 21,MovementType starter record 21,1,1,1,2026-08-24T00:00:00.000
22,MT000022,1,Delta MovementType 22,MovementType starter record 22,1,1,1,2026-08-24T00:00:00.000
23,MT000023,1,Titan MovementType 23,MovementType starter record 23,1,1,1,2026-08-24T00:00:00.000
24,MT000024,3,Northstar MovementType 24,MovementType starter record 24,1,1,1,2026-08-24T00:00:00.000
25,MT000025,2,Ion MovementType 25,MovementType starter record 25,0,1,1,2026-08-24T00:00:00.000
26,MT000026,2,Meridian MovementType 26,MovementType starter record 26,1,1,1,2026-08-24T00:00:00.000
27,MT000027,3,Atlas MovementType 27,MovementType starter record 27,1,1,1,2026-08-24T00:00:00.000
28,MT000028,2,Granite MovementType 28,MovementType starter record 28,1,1,1,2026-08-24T00:00:00.000
29,MT000029,2,Cedar MovementType 29,MovementType starter record 29,1,1,1,2026-08-24T00:00:00.000
30,MT000030,2,Liberty MovementType 30,MovementType starter record 30,0,1,1,2026-08-24T00:00:00.000
31,MT000031,4,Beacon MovementType 31,MovementType starter record 31,1,1,1,2026-08-24T00:00:00.000
32,MT000032,2,Forge MovementType 32,MovementType starter record 32,1,1,1,2026-08-24T00:00:00.000
33,MT000033,1,Atlas MovementType 33,MovementType starter record 33,1,1,1,2026-08-24T00:00:00.000
34,MT000034,3,Pioneer MovementType 34,MovementType starter record 34,1,1,1,2026-08-24T00:00:00.000
35,MT000035,2,Forge MovementType 35,MovementType starter record 35,0,1,1,2026-08-24T00:00:00.000
36,MT000036,3,Orion MovementType 36,MovementType starter record 36,1,1,1,2026-08-24T00:00:00.000
37,MT000037,3,Junction MovementType 37,MovementType starter record 37,1,1,1,2026-08-24T00:00:00.000
38,MT000038,1,Beacon MovementType 38,MovementType starter record 38,1,1,1,2026-08-24T00:00:00.000
39,MT000039,1,Riverton MovementType 39,MovementType starter record 39,1,1,1,2026-08-24T00:00:00.000
40,MT000040,1,Evergreen MovementType 40,MovementType starter record 40,0,1,1,2026-08-24T00:00:00.000
