TaxCodeKey,TaxCode,TaxCodeName,TaxCodeDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,TC000001,TC000001,TC000001,1,1,1,2026-08-24T00:00:00.000
2,TC000002,TC000002,TC000002,1,1,1,2026-08-24T00:00:00.000
3,TC000003,TC000003,TC000003,1,1,1,2026-08-24T00:00:00.000
4,TC000004,TC000004,TC000004,1,1,1,2026-08-24T00:00:00.000
5,TC000005,TC000005,TC000005,0,1,1,2026-08-24T00:00:00.000
6,TC000006,TC000006,TC000006,1,1,1,2026-08-24T00:00:00.000
7,TC000007,TC000007,TC000007,1,1,1,2026-08-24T00:00:00.000
8,TC000008,TC000008,TC000008,1,1,1,2026-08-24T00:00:00.000
9,TC000009,TC000009,TC000009,1,1,1,2026-08-24T00:00:00.000
10,TC000010,TC000010,TC000010,0,1,1,2026-08-24T00:00:00.000
11,TC000011,TC000011,TC000011,1,1,1,2026-08-24T00:00:00.000
12,TC000012,TC000012,TC000012,1,1,1,2026-08-24T00:00:00.000
13,TC000013,TC000013,TC000013,1,1,1,2026-08-24T00:00:00.000
14,TC000014,TC000014,TC000014,1,1,1,2026-08-24T00:00:00.000
15,TC000015,TC000015,TC000015,0,1,1,2026-08-24T00:00:00.000
16,TC000016,TC000016,TC000016,1,1,1,2026-08-24T00:00:00.000
17,TC000017,TC000017,TC000017,1,1,1,2026-08-24T00:00:00.000
18,TC000018,TC000018,TC000018,1,1,1,2026-08-24T00:00:00.000
19,TC000019,TC000019,TC000019,1,1,1,2026-08-24T00:00:00.000
20,TC000020,TC000020,TC000020,0,1,1,2026-08-24T00:00:00.000
21,TC000021,TC000021,TC000021,1,1,1,2026-08-24T00:00:00.000
22,TC000022,TC000022,TC000022,1,1,1,2026-08-24T00:00:00.000
23,TC000023,TC000023,TC000023,1,1,1,2026-08-24T00:00:00.000
24,TC000024,TC000024,TC000024,1,1,1,2026-08-24T00:00:00.000
25,TC000025,TC000025,TC000025,0,1,1,2026-08-24T00:00:00.000
