TimeZoneKey,TimeZoneCode,RegionKey,TimeZoneName,TimeZoneDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,TZ000001,6,Forge TimeZone 1,TimeZone starter record 1,1,1,1,2026-08-24T00:00:00.000
2,TZ000002,7,Atlas TimeZone 2,TimeZone starter record 2,1,1,1,2026-08-24T00:00:00.000
3,TZ000003,14,Harbor TimeZone 3,TimeZone starter record 3,1,1,1,2026-08-24T00:00:00.000
4,TZ000004,12,Ion TimeZone 4,TimeZone starter record 4,1,1,1,2026-08-24T00:00:00.000
5,TZ000005,4,Atlas TimeZone 5,TimeZone starter record 5,0,1,1,2026-08-24T00:00:00.000
6,TZ000006,18,Vertex TimeZone 6,TimeZone starter record 6,1,1,1,2026-08-24T00:00:00.000
7,TZ000007,10,Riverton TimeZone 7,TimeZone starter record 7,1,1,1,2026-08-24T00:00:00.000
8,TZ000008,7,Atlas TimeZone 8,TimeZone starter record 8,1,1,1,2026-08-24T00:00:00.000
9,TZ000009,3,Delta TimeZone 9,TimeZone starter record 9,1,1,1,2026-08-24T00:00:00.000
10,TZ000010,18,Northstar TimeZone 10,TimeZone starter record 10,0,1,1,2026-08-24T00:00:00.000
11,TZ000011,16,Titan TimeZone 11,TimeZone starter record 11,1,1,1,2026-08-24T00:00:00.000
12,TZ000012,15,Junction TimeZone 12,TimeZone starter record 12,1,1,1,2026-08-24T00:00:00.000
13,TZ000013,1,Junction TimeZone 13,TimeZone starter record 13,1,1,1,2026-08-24T00:00:00.000
14,TZ000014,17,Zenith TimeZone 14,TimeZone starter record 14,1,1,1,2026-08-24T00:00:00.000
15,TZ000015,6,Harbor TimeZone 15,TimeZone starter record 15,0,1,1,2026-08-24T00:00:00.000
16,TZ000016,9,Delta TimeZone 16,TimeZone starter record 16,1,1,1,2026-08-24T00:00:00.000
17,TZ000017,15,Keystone TimeZone 17,TimeZone starter record 17,1,1,1,2026-08-24T00:00:00.000
18,TZ000018,1,Vertex TimeZone 18,TimeZone starter record 18,1,1,1,2026-08-24T00:00:00.000
19,TZ000019,8,Quartz TimeZone 19,TimeZone starter record 19,1,1,1,2026-08-24T00:00:00.000
20,TZ000020,4,Delta TimeZone 20,TimeZone starter record 20,0,1,1,2026-08-24T00:00:00.000
21,TZ000021,18,Summit TimeZone 21,TimeZone starter record 21,1,1,1,2026-08-24T00:00:00.000
22,TZ000022,4,Unity TimeZone 22,TimeZone starter record 22,1,1,1,2026-08-24T00:00:00.000
23,TZ000023,17,Zenith TimeZone 23,TimeZone starter record 23,1,1,1,2026-08-24T00:00:00.000
24,TZ000024,3,Quartz TimeZone 24,TimeZone starter record 24,1,1,1,2026-08-24T00:00:00.000
25,TZ000025,16,Cedar TimeZone 25,TimeZone starter record 25,0,1,1,2026-08-24T00:00:00.000
26,TZ000026,1,Willow TimeZone 26,TimeZone starter record 26,1,1,1,2026-08-24T00:00:00.000
27,TZ000027,5,Willow TimeZone 27,TimeZone starter record 27,1,1,1,2026-08-24T00:00:00.000
28,TZ000028,9,Vertex TimeZone 28,TimeZone starter record 28,1,1,1,2026-08-24T00:00:00.000
29,TZ000029,11,Northstar TimeZone 29,TimeZone starter record 29,1,1,1,2026-08-24T00:00:00.000
30,TZ000030,18,Forge TimeZone 30,TimeZone starter record 30,0,1,1,2026-08-24T00:00:00.000
31,TZ000031,14,Willow TimeZone 31,TimeZone starter record 31,1,1,1,2026-08-24T00:00:00.000
32,TZ000032,9,Ion TimeZone 32,TimeZone starter record 32,1,1,1,2026-08-24T00:00:00.000
33,TZ000033,11,Riverton TimeZone 33,TimeZone starter record 33,1,1,1,2026-08-24T00:00:00.000
34,TZ000034,2,Delta TimeZone 34,TimeZone starter record 34,1,1,1,2026-08-24T00:00:00.000
35,TZ000035,7,Junction TimeZone 35,TimeZone starter record 35,0,1,1,2026-08-24T00:00:00.000
36,TZ000036,8,Titan TimeZone 36,TimeZone starter record 36,1,1,1,2026-08-24T00:00:00.000
37,TZ000037,3,Evergreen TimeZone 37,TimeZone starter record 37,1,1,1,2026-08-24T00:00:00.000
38,TZ000038,7,Northstar TimeZone 38,TimeZone starter record 38,1,1,1,2026-08-24T00:00:00.000
39,TZ000039,10,Pioneer TimeZone 39,TimeZone starter record 39,1,1,1,2026-08-24T00:00:00.000
40,TZ000040,6,Summit TimeZone 40,TimeZone starter record 40,0,1,1,2026-08-24T00:00:00.000
41,TZ000041,16,Junction TimeZone 41,TimeZone starter record 41,1,1,1,2026-08-24T00:00:00.000
42,TZ000042,8,Beacon TimeZone 42,TimeZone starter record 42,1,1,1,2026-08-24T00:00:00.000
43,TZ000043,12,Northstar TimeZone 43,TimeZone starter record 43,1,1,1,2026-08-24T00:00:00.000
44,TZ000044,13,Forge TimeZone 44,TimeZone starter record 44,1,1,1,2026-08-24T00:00:00.000
45,TZ000045,7,Titan TimeZone 45,TimeZone starter record 45,0,1,1,2026-08-24T00:00:00.000
46,TZ000046,11,Northstar TimeZone 46,TimeZone starter record 46,1,1,1,2026-08-24T00:00:00.000
47,TZ000047,2,Quartz TimeZone 47,TimeZone starter record 47,1,1,1,2026-08-24T00:00:00.000
48,TZ000048,4,Delta TimeZone 48,TimeZone starter record 48,1,1,1,2026-08-24T00:00:00.000
49,TZ000049,17,Atlas TimeZone 49,TimeZone starter record 49,1,1,1,2026-08-24T00:00:00.000
50,TZ000050,13,Beacon TimeZone 50,TimeZone starter record 50,0,1,1,2026-08-24T00:00:00.000
51,TZ000051,15,Junction TimeZone 51,TimeZone starter record 51,1,1,1,2026-08-24T00:00:00.000
